brand,series_l1,subseries,model,name,url,field,value
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Image Sensor","1/1.8\" Progressive Scan CMOS"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Max. Resolution","3840 × 2160"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Min. Illumination","Color: 0.0005 Lux @ (F1.0, AGC ON),0 Lux with light"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Shutter Time","1 s to 1/100,000 s"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Day & Night","IR cut filter"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Angle Adjustment","Pan: 0° to 355°,tilt: 0° to 75°,rotate: 0° to 355°"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Lens Type","Fixed focal lens, 2.8 and 4 mm optional"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Focal Length & FOV","2.8 mm, horizontal FOV 108.8°, vertical FOV 56.4°, diagonal FOV 134.3°\n4 mm, horizontal FOV 93.3°, vertical FOV 47.2°, diagonal FOV 114.2°"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Lens Mount","M16"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Iris Type","Fixed"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Aperture","F1.0"
"hikvision","Pro","EasyIP 4.0 Plus with ColorVu","DS-2CD2187G3-LI(S2U)Y","8 MP Smart Hybrid Light with ColorVu Fixed Mini Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2187g3-li-s2u-y/","Depth Of Field","2.8 mm: 3.3 m to ∞\n4 mm: 3.8 m to ∞"
