model,name,url,series_page
"DS-2CD20123G2-LI-U-Y","DS-2CD20123G2-LI(U)Y\n                    \n                        NEW\n                    \n                    12MP Acusense Smart Hybrid Light Fixed Bullet Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd20123g2-li-u-y/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD20123G2-LIUY-S-L--RB-","DS-2CD20123G2-LIUY/S(L)(RB)\n                    \n                        NEW\n                    \n                    12MP Acusense Strobe Light and Audible Warning & Smart Hybrid Light Fixed Bullet Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd20123g2-liuy-s-l--rb-/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD2143G2-LIPTRZ-S2U-Y","DS-2CD2143G2-LIPTRZ(S2U)Y\n                    \n                        NEW\n                    \n                    4 MP AcuSense PTRZ Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2143g2-liptrz-s2u-y/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD23123G2-LI-2U-Y","DS-2CD23123G2-LI(2U)Y\n                    \n                        NEW\n                    \n                    12MP Acusense Smart Hybrid Light Fixed Turret Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd23123g2-li-2u-y/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD23123G2-LI2UY-S-L--RB-","DS-2CD23123G2-LI2UY/S(L)(RB)\n                    \n                        NEW\n                    \n                    12MP Acusense Strobe Light and Audible Warning & Smart Hybrid Light Fixed Turret Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd23123g2-li2uy-s-l--rb-/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD23127G3P-LIS2UY-S-L--RB-","DS-2CD23127G3P-LIS2UY/S(L)(RB)\n                    \n                        NEW\n                    \n                    12 MP Panoramic ColorVu Fixed Turret Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd23127g3p-lis2uy-s-l--rb-/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD23167G3P-LIS2UY-S-L--RB-","DS-2CD23167G3P-LIS2UY/S(L)(RB)\n                    \n                        NEW\n                    \n                    16 MP Panoramic ColorVu Fixed Turret Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd23167g3p-lis2uy-s-l--rb-/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD2387G3P-LIS2UY-S-L--RB-","DS-2CD2387G3P-LIS2UY/S(L)(RB)\n                    \n                        NEW\n                    \n                    8 MP Panoramic ColorVu Fixed Turret Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2387g3p-lis2uy-s-l--rb-/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD2747G3-LIPTRZS2UY-S-L--RB-","DS-2CD2747G3-LIPTRZS2UY/S(L)(RB)\n                    \n                        NEW\n                    \n                    4 MP Smart Hybrid Light with ColorVu Motorized PTRZ Varifocal Dome Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2747g3-liptrzs2uy-s-l--rb-/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD2H23G2-IZS","DS-2CD2H23G2-IZS\n                    \n                        NEW\n                    \n                    2 MP AcuSense Motorized Varifocal Turret Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2h23g2-izs/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD2T123G2-2LI-2U--4LI-2U-Y","DS-2CD2T123G2-2LI(2U)/4LI(2U)Y\n                    \n                        NEW\n                    \n                    12MP Acusense Smart Hybrid Light Fixed Bullet Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2t123g2-2li-2u--4li-2u-y/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
"DS-2CD2T123G2-LIS2U-S-L--RB-Y","DS-2CD2T123G2-LIS2U/S(L)(RB)Y\n                    \n                        NEW\n                    \n                    12MP Acusense Strobe Light and Audible Warning & Smart Hybrid Light Fixed Bullet Network Camera","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/ds-2cd2t123g2-lis2u-s-l--rb-y/","https://www.hikvision.com/en/products/IP-Products/Network-Cameras/Pro-Series-EasyIP-/"
